Item,Description,Quantity,Price,Link
ESP32,ESP32 Dev Board with Micro USB,1,7.99,https://www.amazon.com/Development-AYWHP-ESP-WROOM-32-Bluetooth-Compatible/dp/B0DG8JFY3C/ref=sr_1_22_sspa?crid=XED0GT48YE6E&dib=eyJ2IjoiMSJ9.PSB176jSXSOHpulzDZkbmtizHvBNOz0OL-vhlAmSVnOydxp-C9lrnm8NHcvON5HR1LiQZ6qGEVUfXY8iYTibgZFTwtsoSL5I1PZMYB2ImToA18GpO9tRpBXwH9NSUi5zH9rrqd_wHoiTBP7HdYD_WjGvQdYvDz9pIHN8iu8mUcXMkFtLNXxEqEhaH9DS0Ml6JWhfn8vM4vS6gVm87XWBzE5YAk6QvLABu7Bd6qcUa5U.2L4kyP4wj0KKoSTxZoiK_iG7uYjlwqY_ROWFcVoxlWE&dib_tag=se&keywords=ESP32%2B1pc&qid=1759812499&sprefix=esp32%2B1pc%2Caps%2C196&sr=8-22-spons&sp_csd=d2lkZ2V0TmFtZT1zcF9idGY&th=1
DS18B20,Waterproof digital temp sensor,1,5.99,https://www.amazon.com/BOJACK-DS18B20-Temperature-Stainless-Waterproof/dp/B09NVFJYPS/ref=sr_1_5?dib=eyJ2IjoiMSJ9._BHkpX87ZF_FWtkVbJHjSa7LT7bhhEIglKdawD740ihpCygiaYBYTEt0ZRtIA5j4Wv4TlbwK9bIfpxpOvYJ5aJV4da22oNMZmg5PSNpZfR1OLMA8Yc3c9zCMqHmB21pDiWAF4how_e3shPSCTJ-oWNC9VUvSvVKKo2KOnyEedK6an_fwmS4a9IRxSwc6fVQQFYcn19qVYxkr11qpHq3VBvk8sLSnPd0DCR_Krcf7mDE.nEN-RBf_F_ne2ccoHao_BFRdwI0q7a5F_-ZgFyCE17o&dib_tag=se&keywords=DS18B20&qid=1759813329&sr=8-5&th=1
RGB LED,8mm diameter frosted with strong luminosity,1,6.99,https://www.amazon.com/Tricolor-Diffused-Multicolor-Electronics-Components/dp/B01CI4DYLW?th=1
Battery,3.7V 500mAh Li-ion battery,1,7.59,https://www.amazon.com/Liter-energybattery-Battery-Rechargeable-Connector/dp/B09FLYGKK3/ref=sr_1_10?dib=eyJ2IjoiMSJ9.p7MYqr8_bIIACcL3Bkj5lz9E02q9pHJYP2RamnPF_8qNxfFMCblazadXxoM038W7LWiwgr1ovxNtKUJ3qnaRNv6HBER4AEQ5kgl2oCx1btj53zrwnlYtSy1XRGGy_z1WCDMtXMPhxaay9LhyyFPeBIVfaSGvw-79b9GFrLsJoiraWOHj2X6HSwE0aq_d01JTDoZpBDZrX-bW4cjr7tpXyxtlDLD8xJ3sU1dR_sM3pJ77Ntq1Rq5DY5Z6fr49ZvbJ3lY_KOEFgxI2QM_J38MTsj_Jq61Hss9XOYzumWZZc7c.RBqj-2-ffT5K-lT1mIyync3jx2fIlKLPd1Tq2gUJB5k&dib_tag=se&keywords=3.7v+500mah&qid=1759813433&sr=8-10
TP4056,Li-ion charging module with protection,1,5.99,https://www.amazon.com/HiLetgo-Lithium-Charging-Protection-Functions/dp/B07PKND8KG
Acrylic Sheet,Clear acrylic sheet (for laser cut / shape),1,5.00,https://www.amazon.com/dp/B07QJTFWQV
Wires,Jumper wire pack,1,4.99,https://www.amazon.com/WWZMDiB-120Pcs-Multicolored-Breadboard-Jumper/dp/B0B2L66ZFM/ref=sr_1_5?dib=eyJ2IjoiMSJ9.tjHxIQLJsk16_0YVtUGN6e5AwSgBYzLUqgY8QgPfHUXF6ii_i5SGnTjyBAFWsS_CdwbDCBqA8ss2zXSSj2BJMB06uUS7C8pyN9M3YEM7FsLDrZoucHc5i3h9r1f10SjZA6g4tFEKrcl8Lpmw1cUhD6-hVkeX_rOzC38YG-6wi6QPkjKcp-eYg8w88qRCDaFvZREBXw-eocqMndEjMb82-KMZmGWMQqpJosMY5c6iHpI.um_XLGm1qlaGQcfvIG-BL2H4xgPXmePh5w1GG_HWu6o&dib_tag=se&keywords=jumper+wires&qid=1759813536&sr=8-5
Breadboard, Connected with ESP,1,3.99,amazon.com/California-JOS-Breadboard-Solderless-Distribution/dp/B0BRQX6G3T/ref=sr_1_5?dib=eyJ2IjoiMSJ9.0XjhQpvsxVGvVwki4XDjTfjI98AaOaQgOaq2zRikEuSDF-7qXOddTPX8m5tFEdWjKEwJ97QqXjLfNWqwBBW-NloLxJjWGuQm2eQdtYsOKWUMYXsUuD8CQB5vnUXKfCw3o8dV8WAt7wxJjLGFXeDsm45WVtbGkv_3RK8YZnJLa7Hq1RxvomwU2jizVQigp-tk-o_IYvUXZrfTCtbkab7WFq_-q5brpGsLOhBRNyKLzfU.jRcq25yfgWbyHNqnRohXxYlsT96z1P3uon4kwE0ENjU&dib_tag=se&keywords=breadboard&qid=1759891743&refinements=p_36%3A-900&rnid=2661611011&sr=8-5
Total,,,48.53,
